zipcode,classification_ontime
74301,Delayed
56628,On time
32534,On time
76712,Delayed
80918,Delayed
42728,On time
33063,Delayed
38544,On time
53219,Delayed
55812,Delayed
94502,Delayed
32778,Delayed
48038,Delayed
78383,On time
19137,On time
62088,On time
10307,On time
94530,Delayed
2909,Delayed
62812,On time
4096,On time
76115,On time
85701,On time
76052,Delayed
80534,Delayed
71909,On time
2664,On time
48038,Delayed
21239,On time
5464,On time
92590,Delayed
94947,Delayed
2865,Delayed
94965,Delayed
68522,On time
33981,On time
20036,Delayed
63341,On time
8270,On time
18078,On time
45014,Delayed
78244,Delayed
8816,Delayed
95461,On time
59804,On time
95842,Delayed
57064,On time
39232,Delayed
48044,Delayed
8083,On time
43028,On time
92404,Delayed
14464,On time
55020,On time
23117,Delayed
60706,Delayed
90047,Delayed
48458,On time
90003,On time
4258,On time
76131,Delayed
85546,On time
13502,Delayed
45801,Delayed
75002,Delayed
89128,Delayed
77380,Delayed
98901,On time
49424,Delayed
46168,Delayed
1226,On time
75972,On time
75090,Delayed
12525,On time
63019,On time
91750,Delayed
80530,On time
45247,Delayed
39206,On time
52722,Delayed
95130,On time
18929,On time
3063,Delayed
78759,Delayed
35179,On time
6053,On time
75020,Delayed
47424,On time
54650,Delayed
26452,On time
21074,On time
11366,Delayed
32305,Delayed
46556,Delayed
28630,On time
89110,Delayed
61614,Delayed
37353,On time
37085,On time
8092,On time
55437,Delayed
70785,Delayed
48170,Delayed
55454,On time
13208,Delayed
77656,On time
37419,Delayed
92325,On time
1970,Delayed
4011,Delayed
93614,Delayed
8028,Delayed
8088,Delayed
76903,On time
37745,On time
36801,On time
95354,Delayed
81615,On time
65542,On time
55447,Delayed
11717,Delayed
36874,On time
54217,On time
73750,On time
64465,On time
28479,On time
45305,On time
4240,Delayed
70517,On time
3053,Delayed
92225,On time
15136,Delayed
42223,On time
7756,On time
16827,On time
94401,Delayed
91340,Delayed
87110,Delayed
85701,On time
77328,On time
73065,On time
39194,On time
97024,On time
3051,Delayed
47126,On time
91606,Delayed
19541,Delayed
72719,Delayed
26416,On time
94121,Delayed
97439,Delayed
97882,On time
19151,Delayed
80443,On time
22655,Delayed
49735,Delayed
11803,Delayed
7628,Delayed
11801,Delayed
92020,Delayed
94030,Delayed
75013,Delayed
8540,Delayed
6279,On time
40160,On time
32643,On time
55056,On time
51103,Delayed
53126,On time
36801,Delayed
68521,Delayed
14534,Delayed
3234,On time
64759,On time
53925,On time
7932,Delayed
73129,On time
76063,Delayed
33954,On time
93636,Delayed
1220,On time
90732,Delayed
43907,On time
55382,On time
24605,On time
73099,Delayed
60041,On time
38305,Delayed
30543,Delayed
25840,On time
55356,On time
2368,Delayed
89129,Delayed
61364,Delayed
95326,On time
19150,On time
55102,Delayed
37072,On time
62521,Delayed
60453,Delayed
6902,Delayed
92075,Delayed
93723,Delayed
78739,Delayed
64133,Delayed
62711,Delayed
75234,Delayed
55044,Delayed
33413,Delayed
37854,On time
76247,Delayed
19971,On time
34287,Delayed
48168,Delayed
64506,Delayed
72103,On time
27804,On time
34997,Delayed
66211,Delayed
34117,Delayed
32082,Delayed
29016,On time
43506,On time
43001,On time
31632,On time
27589,On time
6473,Delayed
85340,Delayed
58318,On time
6375,On time
34229,Delayed
29483,Delayed
11231,Delayed
27539,Delayed
35406,On time
16509,On time
35802,Delayed
23832,Delayed
55808,On time
43623,Delayed
53809,On time
34212,Delayed
95357,On time
58503,Delayed
6370,Delayed
45430,On time
46809,On time
95206,Delayed
60048,On time
36693,On time
32653,Delayed
43215,Delayed
32541,Delayed
74066,On time
70818,On time
1944,Delayed
34212,Delayed
3884,Delayed
11801,Delayed
27360,Delayed
75114,On time
31804,On time
48236,Delayed
62420,On time
18431,Delayed
80233,Delayed
33771,Delayed
25430,On time
75076,On time
92040,Delayed
48131,Delayed
6070,Delayed
46013,Delayed
92139,Delayed
13036,On time
29115,Delayed
73068,On time
92410,Delayed
43062,On time
10603,Delayed
44273,Delayed
24141,Delayed
20117,Delayed
21651,On time
45231,Delayed
27921,On time
67005,On time
46236,Delayed
28337,On time
95648,Delayed
19904,Delayed
34448,On time
59711,On time
60526,Delayed
94040,Delayed
54021,Delayed
84118,Delayed
5346,Delayed
37334,Delayed
75150,Delayed
41001,On time
85616,On time
22602,Delayed
51351,Delayed
89052,Delayed
35802,Delayed
44601,Delayed
17847,On time
2539,On time
80831,Delayed
23120,On time
24073,Delayed
10997,On time
19132,On time
15632,Delayed
46135,Delayed
38060,On time
60177,Delayed
72715,On time
95030,Delayed
29403,Delayed
8822,Delayed
94525,On time
71854,Delayed
14437,On time
17202,Delayed
28078,Delayed
7657,Delayed
60559,Delayed
63074,Delayed
8105,Delayed
98188,Delayed
21217,Delayed
31602,Delayed
15332,Delayed
65066,On time
94568,Delayed
15636,On time
59313,Delayed
53575,Delayed
10920,On time
28352,Delayed
84770,Delayed
98370,Delayed
5482,On time
89106,Delayed
30179,On time
43764,On time
55352,On time
47834,Delayed
8886,On time
23693,Delayed
90804,Delayed
61356,On time
30030,Delayed
3245,On time
45342,Delayed
97439,Delayed
90401,Delayed
34431,On time
59102,Delayed
41042,Delayed
92201,Delayed
10576,On time
70075,On time
32208,On time
56368,Delayed
3281,On time
95258,On time
76005,On time
32114,On time
15214,On time
80224,On time
66202,Delayed
32060,On time
77032,On time
94578,Delayed
1923,Delayed
94585,Delayed
73750,On time
76707,Delayed
2032,On time
27249,On time
5101,On time
18640,On time
54944,On time
21239,Delayed
70815,Delayed
7650,Delayed
62441,Delayed
84066,On time
33605,On time
38571,Delayed
89014,Delayed
17801,Delayed
48154,Delayed
33523,Delayed
60163,On time
7945,Delayed
15237,Delayed
28348,Delayed
98002,Delayed
77871,On time
82431,On time
49120,Delayed
53094,On time
97467,On time
75207,On time
41339,On time
16314,On time
75167,Delayed
49203,Delayed
22642,On time
46723,On time
59634,Delayed
80134,Delayed
74948,On time
75207,On time
62881,Delayed
13116,On time
44413,On time
89049,On time
8052,Delayed
70706,Delayed
59425,On time
7758,Delayed
7421,Delayed
6110,Delayed
92870,Delayed
2777,Delayed
1841,Delayed
91711,Delayed
79707,On time
57717,On time
60661,Delayed
71446,Delayed
54230,Delayed
77478,Delayed
74301,On time
61550,Delayed
90057,Delayed
6260,Delayed
34654,Delayed
80642,On time
28097,On time
35976,On time
95130,Delayed
77469,Delayed
64081,Delayed
49015,Delayed
3101,Delayed
83712,Delayed
18901,Delayed
41051,Delayed
19963,On time
33811,Delayed
79045,On time
78942,On time
97017,On time
97078,On time
60613,Delayed
44286,Delayed
53221,Delayed
15022,On time
7848,On time
32827,Delayed
95388,On time
36606,On time
30813,Delayed
85602,On time
60130,Delayed
85282,Delayed
78046,On time
45177,Delayed
78227,Delayed
2816,Delayed
32084,Delayed
16059,On time
49931,On time
3608,On time
83422,Delayed
83644,Delayed
85206,Delayed
20685,Delayed
92129,Delayed
8876,Delayed
93454,Delayed
74133,Delayed
37310,On time
7702,On time
48617,Delayed
28139,On time
10032,Delayed
70726,Delayed
83402,Delayed
74012,Delayed
62231,Delayed
36350,On time
85194,On time
12833,On time
33015,Delayed
3042,Delayed
33184,On time
93510,On time
70002,Delayed
43056,On time
89704,On time
49319,On time
2719,Delayed
70005,On time
6783,On time
53233,Delayed
10941,Delayed
74848,On time
93313,Delayed
33924,On time
2339,On time
19438,Delayed
79406,On time
70047,Delayed
25705,Delayed
45229,On time
34785,On time
31005,On time
78363,On time
90066,Delayed
43506,Delayed
20019,Delayed
90039,Delayed
1906,Delayed
30531,On time
28337,Delayed
15320,On time
72207,Delayed
84084,Delayed
48118,On time
47122,Delayed
60430,Delayed
53950,On time
55391,Delayed
18507,Delayed
75904,Delayed
74403,Delayed
64145,Delayed
48059,On time
77598,Delayed
91345,On time
77012,On time
10069,Delayed
7927,On time
3064,On time
94507,Delayed
73130,On time
7663,Delayed
5763,On time
1851,Delayed
8020,On time
7840,Delayed
77035,Delayed
2563,On time
7064,Delayed
48240,Delayed
80501,Delayed
93960,On time
11701,Delayed
45211,Delayed
8070,On time
60071,On time
20037,Delayed
37660,Delayed
59635,On time
18848,On time
53098,Delayed
12182,Delayed
10464,On time
68134,On time
49091,On time
92075,Delayed
90601,Delayed
2322,On time
42749,Delayed
15237,Delayed
21133,Delayed
35763,Delayed
94564,Delayed
13068,Delayed
98516,Delayed
90403,Delayed
37091,Delayed
76798,On time
55117,Delayed
66701,Delayed
32505,On time
46241,Delayed
94612,Delayed
41073,On time
49801,Delayed
35956,On time
37388,On time
75231,Delayed
55328,Delayed
83704,Delayed
1944,Delayed
65757,On time
11791,Delayed
35967,On time
18064,Delayed
84341,Delayed
28139,Delayed
44907,On time
90220,Delayed
99350,Delayed
22807,On time
19716,On time
15228,Delayed
97801,Delayed
32732,On time
34698,On time
39232,On time
4220,On time
95682,Delayed
31322,Delayed
44111,Delayed
80467,On time
55032,Delayed
49301,Delayed
62626,On time
70047,Delayed
46818,Delayed
89436,Delayed
11204,Delayed
7504,On time
76002,On time
38372,Delayed
14201,On time
92394,On time
85746,Delayed
60585,Delayed
23325,Delayed
30213,Delayed
60071,On time
91764,Delayed
7039,Delayed
43068,Delayed
15147,Delayed
75236,On time
45169,On time
1077,Delayed
84044,On time
37807,On time
60603,On time
75455,On time
48206,On time
11435,Delayed
10918,Delayed
74873,On time
81507,Delayed
28163,On time
55398,Delayed
27302,Delayed
44440,On time
85607,Delayed
2644,On time
46556,Delayed
45247,On time
12204,Delayed
21078,Delayed
77498,Delayed
28657,On time
3042,On time
30252,Delayed
60103,Delayed
43017,Delayed
77401,Delayed
91352,Delayed
93309,Delayed
27525,On time
89052,Delayed
11901,On time
80108,Delayed
20640,Delayed
63368,Delayed
33143,Delayed
14414,On time
7719,Delayed
40347,On time
22405,Delayed
77051,On time
78218,On time
43968,On time
3253,Delayed
46392,On time
60076,Delayed
75231,Delayed
43410,Delayed
78114,On time
37027,Delayed
75633,On time
61554,Delayed
54452,On time
3909,On time
62906,On time
57717,On time
43215,Delayed
97883,On time
1240,On time
19015,Delayed
34788,Delayed
46814,On time
16841,On time
32210,Delayed
94606,Delayed
32827,Delayed
72002,On time
33637,On time
91605,Delayed
4064,On time
53534,Delayed
60176,Delayed
55045,On time
77389,Delayed
43430,On time
1519,On time
20124,On time
60639,Delayed
75251,Delayed
4287,On time
2740,Delayed
93636,Delayed
78752,Delayed
52776,On time
8505,On time
78222,On time
30305,Delayed
66216,Delayed
33566,On time
98055,Delayed
95336,Delayed
16316,On time
76309,Delayed
44485,On time
29485,Delayed
7764,On time
97424,Delayed
23236,Delayed
37807,On time
40513,On time
46120,On time
18902,Delayed
20037,Delayed
75173,On time
91104,Delayed
83703,On time
53559,On time
99022,Delayed
54153,On time
18202,Delayed
33578,Delayed
76123,Delayed
44875,Delayed
28601,Delayed
73533,Delayed
54115,Delayed
48095,On time
54801,On time
18018,Delayed
19006,Delayed
98168,Delayed
23703,Delayed
19147,Delayed
20181,Delayed
68152,On time
85248,Delayed
92708,Delayed
1452,On time
48120,On time
43334,On time
43402,Delayed
45365,Delayed
77029,Delayed
35739,On time
31015,Delayed
75051,Delayed
55964,Delayed
1030,Delayed
63935,On time
39759,Delayed
36426,On time
55906,Delayed
81201,Delayed
21201,Delayed
44907,On time
78229,Delayed
93308,Delayed
71671,Delayed
61103,On time
48390,Delayed
88101,Delayed
20855,Delayed
76844,On time
92692,Delayed
97032,On time
5661,Delayed
2062,Delayed
21635,On time
36874,Delayed
56011,On time
90220,Delayed
62294,Delayed
45431,Delayed
74631,On time
72704,Delayed
49055,On time
64067,On time
68467,On time
11501,Delayed
45314,On time
92108,Delayed
55421,On time
57104,On time
87120,Delayed
98007,Delayed
6473,Delayed
76856,On time
20759,Delayed
20619,Delayed
92356,On time
1129,Delayed
79764,Delayed
33767,Delayed
62557,On time
42240,Delayed
11701,Delayed
14020,On time
40026,On time
81520,Delayed
32258,Delayed
28345,On time
93721,On time
58104,Delayed
33066,On time
14218,On time
21412,Delayed
76541,On time
19977,Delayed
43040,Delayed
15237,Delayed
51041,On time
79915,Delayed
2760,Delayed
12204,On time
77382,Delayed
80211,Delayed
76013,Delayed
56003,Delayed
78573,On time
72118,Delayed
18014,Delayed
46545,Delayed
95776,On time
53177,On time
48340,On time
23116,Delayed
36854,On time
5478,On time
62321,On time
94589,Delayed
65049,On time
93292,Delayed
20152,Delayed
90057,On time
75063,Delayed
67740,On time
70577,On time
8611,On time
83686,Delayed
4043,On time
20194,On time
47601,On time
94044,Delayed
85387,On time
45373,Delayed
10916,On time
66067,Delayed
94577,Delayed
21617,Delayed
15062,On time
40272,On time
27610,Delayed
98418,Delayed
20772,Delayed
2857,On time
60160,On time
57350,Delayed
63362,On time
3848,On time
73170,Delayed
95648,Delayed
13676,Delayed
93307,Delayed
14221,Delayed
48356,On time
84078,Delayed
76085,On time
61606,On time
70791,On time
2536,Delayed
84108,Delayed
14607,On time
93035,Delayed
2453,Delayed
26170,On time
83530,On time
84060,Delayed
36054,On time
73068,On time
53090,Delayed
33966,Delayed
23228,Delayed
53403,Delayed
49631,On time
38106,On time
30303,Delayed
92861,On time
28107,On time
45255,Delayed
95119,Delayed
48723,On time
39202,On time
90255,Delayed
35622,On time
3301,Delayed
77372,Delayed
98408,Delayed
91001,Delayed
19061,On time
30276,On time
11220,Delayed
94545,Delayed
98629,On time
33183,Delayed
89512,Delayed
7718,On time
20018,Delayed
75204,Delayed
7042,Delayed
93631,On time
8512,On time
7660,Delayed
38237,On time
92335,Delayed
92646,Delayed
21047,Delayed
63601,On time
73071,Delayed
76308,Delayed
20024,Delayed
17557,On time
37321,Delayed
71270,Delayed
28731,On time
10541,On time
21842,Delayed
55386,On time
94103,Delayed
89147,Delayed
29645,On time
34211,Delayed
33158,On time
38506,Delayed
77541,On time
15102,Delayed
31525,On time
2453,Delayed
33993,On time
70070,Delayed
1450,On time
17003,On time
98408,Delayed
73064,Delayed
49101,On time
85305,On time
91776,Delayed
80124,Delayed
86336,Delayed
13617,On time
33810,Delayed
75019,Delayed
45231,Delayed
19606,Delayed
19007,Delayed
34638,Delayed
21122,Delayed
38655,Delayed
92352,On time
8344,On time
76657,On time
54837,On time
78013,Delayed
27610,Delayed
37650,Delayed
17972,Delayed
46975,On time
61517,On time
6074,Delayed
6840,Delayed
42103,On time
55420,Delayed
45249,Delayed
85009,Delayed
72802,Delayed
15370,On time
95540,Delayed
78130,Delayed
49055,On time
27410,Delayed
59635,On time
32506,Delayed
53406,On time
48846,On time
77327,On time
97006,Delayed
8034,Delayed
98022,Delayed
92584,Delayed
5851,On time
32940,Delayed
76148,On time
33414,Delayed
2127,Delayed
28365,Delayed
22079,Delayed
43506,On time
57201,Delayed
98247,On time
30467,On time
62258,Delayed
95663,On time
91302,Delayed
28209,Delayed
10037,On time
48507,On time
93103,Delayed
38128,Delayed
94605,Delayed
90715,On time
46173,Delayed
33579,Delayed
89703,Delayed
11730,On time
89410,On time
48033,On time
48726,On time
21613,On time
89014,Delayed
33193,Delayed
60441,Delayed
91325,Delayed
32234,On time
38701,On time
48876,On time
22044,Delayed
13037,On time
91377,Delayed
34758,On time
95694,Delayed
36502,Delayed
8343,Delayed
78266,On time
78155,Delayed
63390,On time
91710,Delayed
78026,On time
49519,Delayed
55441,Delayed
11946,Delayed
26452,On time
22043,Delayed
85208,Delayed
7401,Delayed
95131,Delayed
98247,On time
92832,Delayed
2563,Delayed
30009,Delayed
50035,On time
7720,On time
64040,On time
8533,On time
33403,On time
38488,On time
33850,On time
11713,On time
25704,On time
35124,Delayed
1772,Delayed
37085,On time
37043,Delayed
11716,Delayed
92841,Delayed
63135,On time
45205,On time
4015,Delayed
52577,On time
32404,On time
53406,Delayed
92371,Delayed
65020,On time
29316,Delayed
78861,On time
60632,Delayed
14904,On time
46107,Delayed
6413,Delayed
77489,Delayed
76710,Delayed
33458,Delayed
33510,Delayed
79103,On time
48074,On time
64154,On time
33619,Delayed
24151,Delayed
73162,Delayed
49015,Delayed
6026,On time
6076,Delayed
20871,Delayed
77083,Delayed
53714,On time
79363,On time
50208,Delayed
90068,Delayed
7825,On time
97222,Delayed
94022,Delayed
5454,Delayed
80003,Delayed
8512,Delayed
84601,Delayed
60302,Delayed
56501,Delayed
28217,Delayed
20733,On time
93643,On time
98239,On time
43228,Delayed
94951,On time
72802,On time
7843,Delayed
2302,Delayed
30512,Delayed
75159,On time
34142,On time
95425,Delayed
36420,On time
39301,Delayed
54889,Delayed
2151,Delayed
80107,Delayed
20715,Delayed
32931,On time
38004,On time
8016,Delayed
47429,On time
76009,On time
49935,On time
92505,Delayed
10591,Delayed
83263,On time
94621,On time
2568,Delayed
10570,Delayed
39823,On time
61822,Delayed
90815,Delayed
64735,On time
98584,Delayed
32169,On time
60436,On time
62226,Delayed
33127,Delayed
1938,Delayed
86314,Delayed
1966,Delayed
97537,On time
64134,Delayed
62274,On time
13760,Delayed
35613,Delayed
90712,Delayed
76020,On time
37402,On time
22580,On time
55060,On time
15203,On time
10598,Delayed
49519,Delayed
53115,On time
29642,On time
6461,On time
81226,On time
33567,On time
70578,Delayed
30276,On time
34606,On time
30011,On time
61025,On time
91522,On time
79007,On time
67211,On time
53085,On time
29330,On time
92625,Delayed
55013,On time
44137,On time
48626,On time
61866,On time
89521,Delayed
37160,Delayed
64505,Delayed
48045,Delayed
49009,Delayed
91101,Delayed
10154,On time
7075,On time
46229,On time
27358,Delayed
45177,Delayed
46229,On time
29702,On time
28544,Delayed
42633,On time
6883,On time
35630,Delayed
60503,On time
54201,On time
35487,On time
34102,Delayed
35085,On time
54956,Delayed
60561,Delayed
37208,Delayed
47250,Delayed
98433,Delayed
33965,On time
19047,Delayed
11433,On time
28025,Delayed
24521,Delayed
7419,Delayed
77083,Delayed
83313,On time
27910,On time
94598,Delayed
90040,On time
46540,On time
97333,On time
19132,Delayed
85085,Delayed
95969,Delayed
76112,Delayed
87558,On time
2748,On time
25309,On time
73527,Delayed
92106,Delayed
56431,On time
48363,Delayed
5201,Delayed
32207,Delayed
22835,On time
93635,Delayed
81082,Delayed
17033,Delayed
32825,Delayed
27539,Delayed
77535,Delayed
94044,Delayed
17015,Delayed
34233,On time
94931,Delayed
81520,On time
69153,Delayed
23015,Delayed
76092,Delayed
15234,On time
55109,Delayed
32086,Delayed
42240,Delayed
45067,On time
85225,Delayed
30635,On time
30152,Delayed
86321,On time
48066,Delayed
64628,On time
78636,On time
20110,Delayed
7626,Delayed
2909,Delayed
95006,Delayed
92655,On time
6708,Delayed
13027,Delayed
43209,Delayed
98333,On time
38117,Delayed
30179,Delayed
75104,Delayed
33597,On time
65616,On time
31220,On time
27313,On time
28734,Delayed
52726,Delayed
37406,On time
21619,On time
55113,Delayed
77068,On time
56387,On time
49870,On time
53948,On time
78801,On time
33931,On time
37042,Delayed
50323,On time
97812,On time
22405,Delayed
30303,Delayed
37813,On time
16055,On time
53711,Delayed
70806,Delayed
64083,Delayed
5468,Delayed
29902,Delayed
87505,Delayed
19020,Delayed
75206,Delayed
7751,Delayed
43110,Delayed
95623,On time
49120,Delayed
28211,Delayed
6418,On time
2740,Delayed
98331,On time
33771,Delayed
18612,On time
11801,Delayed
38756,On time
73170,Delayed
26003,Delayed
67901,On time
63869,On time
32216,Delayed
43125,Delayed
52807,On time
35640,Delayed
4083,On time
11693,On time
30306,Delayed
77505,Delayed
27526,Delayed
33071,Delayed
70791,Delayed
95388,On time
97221,On time
85937,On time
6756,On time
30204,Delayed
78209,Delayed
11952,On time
56143,On time
85021,Delayed
32746,Delayed
37406,On time
44030,On time
91364,Delayed
14617,On time
40272,Delayed
30546,Delayed
59221,Delayed
76442,On time
51041,On time
8758,On time
33182,Delayed
92584,Delayed
80239,Delayed
81631,On time
34949,Delayed
24739,Delayed
55902,Delayed
13068,On time
60108,Delayed
84117,Delayed
73122,On time
60957,On time
18052,Delayed
48446,Delayed
41139,On time
45069,Delayed
75407,On time
46952,On time
84105,Delayed
95370,Delayed
21074,Delayed
60538,Delayed
12834,On time
94102,Delayed
70601,Delayed
53965,On time
7201,Delayed
83221,Delayed
46517,Delayed
95470,On time
48026,Delayed
98239,Delayed
76522,Delayed
90807,Delayed
4364,On time
2830,On time
38834,Delayed
11789,On time
15015,Delayed
37934,On time
7733,Delayed
78248,On time
8079,On time
23229,Delayed
29506,Delayed
21090,Delayed
71101,On time
32080,Delayed
33411,Delayed
46574,On time
60118,On time
65201,Delayed
3044,Delayed
36701,Delayed
22408,Delayed
46120,On time
90501,Delayed
49333,Delayed
37091,On time
53566,On time
33406,Delayed
37122,Delayed
44054,On time
32566,Delayed
78258,Delayed
12816,On time
11412,Delayed
8837,On time
97408,Delayed
40229,Delayed
33408,Delayed
14843,On time
43221,Delayed
90017,Delayed
80651,On time
17109,Delayed
29172,Delayed
53527,Delayed
2332,Delayed
8753,Delayed
80133,On time
14214,On time
35750,Delayed
18966,Delayed
64029,Delayed
95113,Delayed
33308,Delayed
31047,Delayed
10589,Delayed
45217,On time
3034,On time
30241,Delayed
49249,On time
19146,Delayed
88220,Delayed
78362,On time
46356,On time
6385,Delayed
78610,Delayed
91741,Delayed
45415,Delayed
19115,Delayed
21085,Delayed
6410,Delayed
12804,Delayed
66067,Delayed
32757,Delayed
30014,Delayed
77059,Delayed
6770,Delayed
35213,Delayed
33542,Delayed
95603,Delayed
34239,On time
94920,Delayed
38049,On time
21797,Delayed
36582,Delayed
17527,On time
65483,On time
98503,Delayed
37641,On time
22601,Delayed
85018,Delayed
11693,On time
91104,Delayed
19363,Delayed
33010,Delayed
40243,Delayed
95822,Delayed
66085,Delayed
5819,On time
8802,On time
13078,On time
60022,Delayed
12528,On time
30022,Delayed
95386,On time
80027,Delayed
46231,Delayed
12803,On time
53150,Delayed
95814,On time
77578,Delayed
11764,Delayed
90042,Delayed
75167,On time
54806,Delayed
85750,Delayed
90732,Delayed
48867,Delayed
65233,Delayed
62693,On time
53118,On time
55130,On time
97212,Delayed
31811,On time
95383,On time
49228,On time
7836,Delayed
91206,Delayed
4915,On time
21040,Delayed
53185,Delayed
60191,On time
34219,Delayed
30290,Delayed
19046,Delayed
75474,On time
48340,On time
19123,Delayed
62948,On time
49512,Delayed
72116,Delayed
92223,Delayed
60409,Delayed
45067,On time
28468,On time
65041,On time
7401,On time
33334,Delayed
92093,Delayed
20186,Delayed
6779,On time
32440,On time
8848,On time
45701,Delayed
81650,Delayed
19901,On time
79922,On time
34951,On time
37207,Delayed
97368,On time
33162,On time
80030,On time
97103,Delayed
20124,Delayed
11379,Delayed
47240,On time
95037,Delayed
40272,Delayed
66218,Delayed
22032,On time
20774,Delayed
50226,On time
45140,Delayed
8901,Delayed
95954,On time
34135,Delayed
6340,Delayed
44406,Delayed
21212,Delayed
84601,On time
55401,Delayed
12564,On time
33473,On time
55077,On time
32725,Delayed
52632,On time
92008,Delayed
98816,Delayed
75087,Delayed
29102,On time
81504,On time
8816,Delayed
91010,On time
30750,Delayed
49093,On time
99224,On time
53188,Delayed
85745,Delayed
37408,On time
77316,Delayed
1862,Delayed
19425,On time
17557,On time
90248,Delayed
29501,Delayed
89419,Delayed
32730,On time
92886,Delayed
85375,Delayed
30527,On time
2053,Delayed
62062,Delayed
98815,On time
84062,Delayed
68847,Delayed
70508,Delayed
6812,Delayed
7012,On time
35611,On time
18705,Delayed
95139,On time
19522,On time
95035,Delayed
61019,On time
33607,Delayed
21012,On time
7066,On time
53122,Delayed
19122,Delayed
6705,Delayed
16866,Delayed
83353,On time
44131,On time
48420,On time
48382,Delayed
85087,On time
65806,Delayed
19055,On time
53118,On time
56334,Delayed
85050,Delayed
48312,On time
54893,On time
38654,Delayed
73068,Delayed
31705,On time
29466,On time
10954,Delayed
34476,Delayed
67550,On time
98662,Delayed
80226,Delayed
61016,On time
67432,On time
76205,Delayed
79745,On time
6415,Delayed
72015,On time
6419,Delayed
13601,Delayed
19940,On time
29673,On time
79922,On time
13214,On time
32940,Delayed
60110,On time
98074,Delayed
38112,Delayed
62704,Delayed
60914,Delayed
14305,Delayed
35071,Delayed
15057,On time
17370,On time
29486,Delayed
45732,Delayed
53142,Delayed
93422,Delayed
42240,Delayed
94939,On time
66218,On time
7027,On time
32501,On time
2056,Delayed
21756,On time
92011,Delayed
41025,Delayed
65625,On time
78957,On time
20181,Delayed
68526,On time
35760,Delayed
68620,On time
14534,Delayed
3304,On time
44484,Delayed
64079,Delayed
94596,Delayed
42211,On time
91708,Delayed
91101,Delayed
34747,Delayed
77061,On time
91701,Delayed
95422,Delayed
19426,Delayed
61354,On time
85354,Delayed
12209,Delayed
2468,Delayed
64029,On time
15203,Delayed
60805,Delayed
77086,On time
17527,On time
30817,Delayed
81147,On time
1223,Delayed
68128,Delayed
58201,Delayed
